 Idle Max, Fwd IAT Max, Flow IAT Max, Fwd IAT Std,Idle Mean, Idle Min, Bwd Packet Length Mean, Avg Bwd Segment Size, Flow IAT Std, Bwd Packet Length Std,Bwd Packet Length Max, Packet Length Std, Max Packet Length, Packet Length Mean, Average Packet Size, Packet Length Variance,Fwd IAT Total, Flow Duration, Fwd IAT Mean, Bwd Packet Length Min, Flow IAT Mean, Min Packet Length, ACK Flag Count,FIN Flag Count, Bwd IAT Std, Bwd IAT Max, Destination Port, Down/Up Ratio, URG Flag Count, Bwd IAT Mean
0,0,135,0.0,0.0,0,6.0,6.0,0.0,0.0,6,0.0,6,6.0,9.0,0.0,0,135,0.0,6,135.0,6,1,0,0.0,0,50419,1,1,0.0
10000000,10000000,10000000,5003935.919,9626179.0,5401139,333.0526316,333.0526316,4478723.867,557.1439544,1418,399.716231,1418,163.5116279,167.4047619,159773.0653,116000000,116159721,5279987.318,0,2833163.927,0,0,0,5024899.141,10000000,443,0,0,6151226.5
0,4,96061,0.0,0.0,0,97.0,97.0,55458.82348,0.0,97,33.95879857,97,59.8,74.75,1153.2,4,96068,4.0,97,32022.66667,35,0,0,0.0,3,53,1,0,3.0
28100000,28200000,28100000,0.0,28100000.0,28100000,65.5,65.5,16200000.0,9.192388155,72,12.98845641,72,52.2,65.25,168.7,28200000,28210124,28200000.0,59,9403374.667,43,0,0,0.0,28200000,53,1,0,28200000.0
0,32424,31287,18704.43081,0.0,0,130.0,130.0,11740.88038,0.0,130,50.59644256,130,76.66666667,86.25,2560.0,32478,32739,10826.0,130,4677.0,34,0,0,763.8771716,1349,53,1,0,467.3333333
0,49,176,0.0,0.0,0,207.0,207.0,73.61385739,0.0,207,96.94689268,207,100.8,126.0,9398.7,49,273,49.0,207,91.0,30,0,0,0.0,48,53,1,0,48.0
0,950,937,671.0443353,0.0,0,6.0,6.0,536.9692729,0.0,6,11.18033989,31,11.0,13.75,125.0,951,951,475.5,6,317.0,6,1,0,0.0,0,52033,0,0,0.0
0,5793079,5793079,4035201.013,0.0,0,0.0,0.0,3319960.649,0.0,0,3.286335345,6,2.4,3.0,10.8,5879522,5879522,2939761.0,0,1959840.667,0,0,0,0.0,0,80,0,0,0.0
0,38104,31032,21997.62261,0.0,0,49.0,49.0,11571.1363,0.0,49,8.432740427,49,40.11111111,45.125,71.11111111,38110,38248,12703.33333,49,5464.0,33,0,0,4080.423058,7116,53,1,0,2404.333333
0,0,23388,0.0,0.0,0,126.0,126.0,0.0,0.0,126,50.22947342,126,68.0,102.0,2523.0,0,23388,0.0,126,23388.0,39,0,0,0.0,0,53,1,0,0.0
0,3,96540,0.0,0.0,0,69.0,69.0,55735.66294,0.0,69,19.71801207,69,47.4,59.25,388.8,3,96546,3.0,69,32182.0,33,0,0,0.0,3,53,1,0,3.0
0,0,53,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,53,0.0,0,53.0,0,1,0,0.0,0,43583,1,1,0.0
0,48,226,0.0,0.0,0,76.0,76.0,103.058236,0.0,76,19.17028951,76,55.0,68.75,367.5,48,321,48.0,76,107.0,41,0,0,0.0,47,53,1,0,47.0
0,3,3,1.414213562,0.0,0,0.0,0.0,1.414213562,0.0,0,0.0,6,6.0,8.0,0.0,4,4,2.0,0,2.0,6,1,0,0.0,0,54671,0,0,0.0
9997113,10000000,9997113,4579645.345,9976363.727,9800578,149.625,149.625,4724083.513,320.6952603,796,246.1572156,796,108.0857143,111.2647059,60593.37479,116000000,116033393,6825493.706,0,3516163.424,0,0,0,4520391.036,10000000,80,0,0,7387124.933
0,49,95,0.0,0.0,0,52.0,52.0,26.85144316,0.0,52,8.76356092,52,42.4,53.0,76.8,49,192,49.0,52,64.0,36,0,0,0.0,48,53,1,0,48.0
0,49,48719,0.0,0.0,0,164.0,164.0,28112.92607,0.0,164,72.29937759,164,84.8,106.0,5227.2,49,48771,49.0,164,16257.0,32,0,0,0.0,3,53,1,0,3.0
0,30897,30897,17836.08187,0.0,0,82.0,82.0,16694.64419,0.0,82,18.05415135,82,55.57142857,64.83333333,325.952381,30905,60969,10301.66667,82,12193.8,45,0,0,0.0,3,53,0,0,3.0
0,4008308,4008308,1938675.559,0.0,0,0.0,0.0,1700105.302,0.0,0,0.0,0,0.0,0.0,0.0,5507727,5507727,1835909.0,0,1101545.4,0,0,0,0.0,1217657,80,0,0,1217657.0
0,277,277,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,277,277,277.0,0,277.0,0,1,0,0.0,0,443,0,0,0.0
0,27841,27841,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6,6.0,9.0,0.0,27841,27841,27841.0,0,27841.0,6,1,0,0.0,0,54604,0,0,0.0
10000000,10100000,10000000,4761204.598,10000000.0,9997698,622.4444444,622.4444444,3728469.729,841.0895051,2896,640.2202282,2896,306.5128205,314.5789474,409881.9406,61700000,61717373,3248282.789,0,1668037.108,0,0,0,4910895.861,10100000,443,0,0,3627430.0
